_id,page,repo_dcount,repo_forks,repo_last_mod,repo_link,repo_name,repo_owner,repo_ref,repo_stars,repo_watch
{'$oid': '5cd4a01244d2ad99fae4dadc'},https://github.com/willard-yuan/flask-keras-cnn-image-retrieval,,106,2018-12-26T15:13:12Z,https://github.com/willard-yuan/flask-keras-cnn-image-retrieval,,https://github.com/willard-yuan,,256,26
{'$oid': '5cd4a01244d2ad99fae4dadd'},https://github.com/vitruvianscience/faster_r_cnn,,4,2015-11-07T21:50:41Z,https://github.com/vitruvianscience/faster_r_cnn,"Implementation of ""Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks""",https://github.com/vitruvianscience,,9,4
{'$oid': '5cd4a01244d2ad99fae4dade'},https://github.com/DeepCompute/cnn,,81,2016-08-21T08:14:21Z,https://github.com/DeepCompute/cnn,基于Java实现CNN，并附MNIST和语音（MFCC特征）性别识别示例。,https://github.com/DeepCompute,,91,14
{'$oid': '5cd4a01244d2ad99fae4dadf'},https://github.com/libcnn/libcnn,,17,2015-11-16T08:04:24Z,https://github.com/libcnn/libcnn,libcnn++,https://github.com/libcnn,,22,6
{'$oid': '5cd4a01344d2ad99fae4dae0'},https://github.com/johannesu/cnn-cells,,6,2019-04-17T19:33:55Z,https://github.com/johannesu/cnn-cells,Cell detection using a convolutional neueral network,https://github.com/johannesu,,16,3
{'$oid': '5cd4a01344d2ad99fae4dae1'},https://github.com/sibosutd/cnn-timeseries,,10,2016-01-14T06:55:52Z,https://github.com/sibosutd/cnn-timeseries,Use CNN to classify time series data for activity recognition,https://github.com/sibosutd,,21,3
{'$oid': '5cd4a01344d2ad99fae4dae2'},https://github.com/indiejoseph/cnn-text-classification-tf-chinese,,106,2016-07-25T06:45:41Z,https://github.com/indiejoseph/cnn-text-classification-tf-chinese,CNN for Chinese Text Classification in Tensorflow,https://github.com/indiejoseph,,226,26
{'$oid': '5cd4a01344d2ad99fae4dae3'},https://github.com/sandeepraju/ihradis-cnn-deblur,,21,2016-02-27T07:58:55Z,https://github.com/sandeepraju/ihradis-cnn-deblur,Image deblurring with Convolutional Neural Networks. Scripts & Neural network models available here,https://github.com/sandeepraju,,55,2
{'$oid': '5cd4a01344d2ad99fae4dae4'},https://github.com/pathak22/caffe-ccnn,,2,2015-12-09T13:26:51Z,https://github.com/pathak22/caffe-ccnn,Branch of caffe for weakly supervised learning.,https://github.com/pathak22,,6,1
{'$oid': '5cd4a01344d2ad99fae4dae5'},https://github.com/intact-project/ild-cnn,,18,2016-04-13T08:16:40Z,https://github.com/intact-project/ild-cnn,"This is supplementary material for the manuscript: ""Lung Pattern Classification for Interstitial Lung Diseases Using a Deep Convolutional Neural Network"" M. Anthimopoulos, S. Christodoulidis, L. Ebner, A. Christe and S. Mougiakakou, IEEE Transactions on Medical Imaging (2016)",https://github.com/intact-project,,15,1
